,type,geometry-type,geometry-coordinates-0,geometry-coordinates-1,properties-jaar,properties-klooster_id,properties-orde,properties-regel,properties-orde_en,properties-symbol,properties-idL,properties-ST,properties-KR,properties-TI,properties-TIE
383,Feature,Point,5.862734239,51.84693671,1518,N29,tertiarissen,derde regel van Franciscus,t,http://geoplaza.vu.nl/projects/kloosters/svg/triangleUp_f_2.svg,N29,tertiarissen,derde regel van Franciscus,"Nijmegen, Begijnen: Enigheid","Nijmegen, Beguines: Enigheid"
384,Feature,Point,5.859789586,51.84912273,1518,N32,observante franciscanen,regel van Franciscus,s,http://geoplaza.vu.nl/projects/kloosters/svg/star_m_2.svg,N32,observante franciscanen,regel van Franciscus,"Nijmegen, Franciscanen","Nijmegen, Friars Minor"
385,Feature,Point,5.860806168,51.84884697,1518,N33,tertiarissen,derde regel van Franciscus,t,http://geoplaza.vu.nl/projects/kloosters/svg/triangleUp_f_2.svg,N33,tertiarissen,derde regel van Franciscus,"Nijmegen, Tertiarissen: Groesbeekshof","Nijmegen, Tertiaries: Groesbeekshof"
386,Feature,Point,5.858266668,51.84930893,1518,N34,broeders des gemenen levens,geen,t,http://geoplaza.vu.nl/projects/kloosters/svg/triangleUp_m_5.svg,N34,broeders des gemenen levens,geen,"Nijmegen, Broeders des gemenen levens","Nijmegen, Brethren of the Common Life"
387,Feature,Point,3.945277778,51.68166667,1518,N35,kartuizers,kartuizerregel,s,http://geoplaza.vu.nl/projects/kloosters/svg/square_m_4.svg,N35,kartuizers,kartuizerregel,"Noordgouwe, Kartuizers: Sionsberg","Noordgouwe, Carthusians: Sionsberg"
388,Feature,Point,4.477661452,52.24131768,1518,N36,cisterciënzerinnen,regel van Benedictus,c,http://geoplaza.vu.nl/projects/kloosters/svg/circle_f_0.svg,N36,cisterciënzerinnen,regel van Benedictus,"Noordwijk, Cisterciënzerinnen: Leeuwenhorst","Noordwijk, Cistercian Nuns: Leeuwenhorst"
389,Feature,Point,5.510234679,51.46947261,1518,N39,regularissen van Venlo,regel van Augustinus,c,http://geoplaza.vu.nl/projects/kloosters/svg/circleV_f_1.svg,N39,regularissen van Venlo,regel van Augustinus,"Nuenen, Regularissen van Soeterbeek","Nuenen, Canonesses Regular of Soeterbeek"
390,Feature,Point,5.933913656,51.24852972,1518,N40,regulieren van Windesheim,regel van Augustinus,c,http://geoplaza.vu.nl/projects/kloosters/svg/circleW_m_1.svg,N40,regulieren van Windesheim,regel van Augustinus,"Nunhem, Regulieren: Elisabethsdal","Nunhem, Canons Regular: Elisabethsdal"
391,Feature,Point,4.447292323,52.2349561,1518,N41,regularissen,regel van Augustinus,c,http://geoplaza.vu.nl/projects/kloosters/svg/circle_f_1.svg,N41,regularissen,regel van Augustinus,"Noordwijk, Regularissen Catharina en Barbara","Noordwijk, Canonesses Regular: Catharina en Barbara"
392,Feature,Point,4.480933249,52.16932819,1518,O01,regularissen van Sion,regel van Augustinus,c,http://geoplaza.vu.nl/projects/kloosters/svg/circleS_f_1.svg,O01,regularissen van Sion,regel van Augustinus,"Oegstgeest, Regularissen: Mariënpoel","Oegstgeest, Canonesses Regular: Mariënpoel"
